Union ID,Union Name,Upazila ID
534,Dakshin Kalocho,62
535,Uttar Rajgaon,62
536,Bakila (Dakshin Rajargaon),62
537,Ashrafpur,63
538,Bitara,63
539,Uttar Gohat,63
540,Dakshin Gohat,63
541,Uttar Kachua,63
542,Dakshin Kachua,63
543,Kadla,63
544,Karia,63
545,Pathair,63
546,Purba Sahadebpur,63
547,Paschim Sahadebpur,63
548,Sachar,63
549,Khadergaon,64
550,Narayanpur,64
551,Uttar Nayergaon,64
552,Uttar Upadi,64
553,Dakhsin Nayergaon,64
554,Dakshin Upadi,64
555,Baganbari,65
556,Farajikandi,65
557,Durgapur,65
558,Purba Fatehpur,65
559,Eklaspur,65
560,Islamabad,65
561,Jahirabad,65
562,Kalakanda,65
563,Mohanpur,65
564,Sadullapur,65
565,Satnal,65
566,Sultanabad,65
567,Paschim Fatehpur,65
568,Gazra,65
569,Chitoshi(E),66
570,Chitoshi(W),66
571,Uttar Meher,66
572,Dakshin Meher,66
573,Uttar Roysree,66
574,Dakshin Roysree,66
575,Uttar Suchi Para,66
576,Dakshin Suchi Para,66
577,Tamta,66
578,Anowara,67
579,Bairag,67
580,Barakhain,67
581,Barasat,67
582,Burumchara,67
583,Battali,67
584,Chatari,67
585,Haildhar,67
586,Paraikora,67
587,Roypur,67
588,Juindandi,67
589,Baharchhara,68
590,Bailchhari,68
591,Chambal,68
592,Chhanua,68
593,Gandamara,68
594,Kalipur,68
595,Amtali,68
596,Khankhanabad,68
597,Puichhari,68
598,Pukuria,68
599,Sadhanpur,68
600,Saral,68
601,Sekherkhil,68
602,Silkup,68
603,Ahla Karaldanga,69
604,Amuchia,69
605,Charandwip,69
606,Purba Gomdandi,69
607,Kadhurkhil,69
608,Popadia,69
609,Saroatali,69
610,Shakpura,69
611,Sreepur Kharandwip,69
612,Paschim Gomdandi,69
613,Bailtali,70
614,Barkal,70
615,Barama,70
616,Dohazari,70
617,Hashimpur,70
618,Joara,70
619,Kanchanabad,70
620,Satbaria,70
621,Abdullapur,71
622,Bagan Bazar,71
623,Baktapur,71
624,Bhujpur,71
625,Dantmara,71
626,Dharmapur,71
627,Dhurung,71
628,Daulatpur,71
629,Harwalchhari,71
630,Jafatnagar,71
631,Kanchan Nagar,71
632,Lelang,71
633,Nanupur,71
634,Narayanhat,71
635,Paindang,71
636,Rangamatia,71
637,Roushangiri,71
638,Suabil,71
639,Samitirhat,71
640,Sundarpur,71
641,Burir Char,72
642,Chhipatali,72
643,Chikandanti,72
644,Dakshin Madrasha,72
645,Dhalai,72
646,Fatehpur,72
647,Forhadabad,72
648,Garduara,72
649,Guman Mardan,72
650,Hathazari,72
651,Mekhal,72
652,Mirzapur,72
653,Nangalmora,72
654,Shikarpur,72
655,Uttar Madarsa,72
656,Char Patharghata,73
657,Shikalbaha,73
658,Char Lakshya,73
659,Juldha,73
660,Bara Uthan,73
661,Adhunagar,74
662,Amirabad,74
663,Barahatia,74
664,Charamba,74
665,Chunati,74
666,Kalauzan,74
667,Lohagara,74
668,Padua,74
669,Putibila,74
670,Dhum,75
671,Durgapur,75
672,Haitkandi,75
673,Hinguli,75
674,Ichhakhali,75
675,Karerhat,75
676,Katachhara,75
677,Khaiyachhara,75
678,Mayani,75
679,Mirsharai,75
680,Mithanala,75
681,Maghadia,75
682,Osmanpur,75
683,Saherkhali,75
684,Wahedpur,75
685,Zorwarganj,75
686,Asia,76
687,Baralia,76
688,Bara Uthan,76
689,Bhatikhain,76
690,Chanhara,76
691,Char Lakshya,76
692,Char Patharghata,76
693,Dhalghat,76
694,Habilas Dwip,76
695,Haidgaon,76
696,Junglekhain,76
697,Juldha,76
698,Kachuai,76
699,Kasiais,76
700,Kelishahar,76
701,Kharana,76
702,Kolagaon,76
703,Kusumpura,76
704,Sikalbaha,76
705,Sobhandandi,76
706,South Bhurshi,76
707,Jiri,76
708,Betagi,77
709,Chandraghona,77
710,Hosnabad,77
711,Kodala,77
712,Mariamnagar,77
713,Padua,77
714,Parua,77
715,Pomara,77
716,Rajanagar,77
717,Rangunia,77
718,Sarapbhata,77
719,Silak,77
720,Islampur,77
721,Dakshin Rajanagar,77
722,Lalanagar,77
723,Bagoan,78
724,Binajuri,78
725,Chikdair,78
726,Dabua,78
727,Purba Guzara,78
728,Gahira,78
729,Haludia,78
730,Kadalpur,78
731,Noajispur,78
732,Noa Para,78
733,Pahartali,78
734,Raozan,78
735,Urkirchar,78
736,Paschim Guzara,78
737,Amanullah,79
738,Azimpur,79
739,Bauria,79
740,Gachhua,79
741,Haramia,79
742,Harispur,79
743,Kalapania,79
744,Magdhara,79
745,Maitbhanga,79
746,Musapur,79
747,Rahmatpur,79
748,Santoshpur,79
749,Sarikait,79
750,Urirchar,79
751,Amilais,80
752,Eochia,80
753,Bazalia,80
754,Charati,80
755,Dhemsa,80
756,Dharmapur,80
757,Kaliais,80
758,Kanchana,80
759,Keochia,80
760,Khagaria,80
761,Madrasa,80
762,Nalua,80
763,Puranghar,80
764,Chhadaha,80
765,Satkania,80
766,Sonakania,80
767,Paschim Dhemsa,80
768,Banshbaria,81
769,Barabkunda,81
770,Baraiardhala,81
771,Bhatiari,81
772,Kumira,81
773,Muradpur,81
774,Salimpur,81
775,Sonaichhari,81
776,Syedpur,81
777,Badarkhali,105
778,Barawtali,105
779,Bheola Manik Char,105
780,Bomobilchari,105
781,Chiringa,105
782,Dulhazara,105
783,Purba Barabheola,105
784,Fasiakhali,105
785,Harbang,105
786,Kakara,105
787,Kaiarbil,105
788,Khutakhali,105
789,Lakhyarchar,105
790,Saharbil,105
791,Paschim Bara Bheola,105
792,Demushia,105
793,Konakhali,105
794,Surajpur-Manikpur,105
795,Bharuakhali,106
796,Chaufaldandi,106
797,Idgaon,106
798,Jhilwanja,106
799,Khurushkul,106
800,Patali Machhuakhali,106
801,Pokkhali,106
802,Islampur,106
803,Islamabad,106
804,Jalalabad,106
805,Ali Akbar Deli,107
806,Baragop,107
807,Dakshin Dhurung,107
808,Kaiyarbil,107
809,Lemsikhali,107
810,Uttar Dhurung,107
811,Chhoto Moheshkhali,108
812,Bara Maheskhali,108
813,Dhalghat,108
814,Hoanak,108
815,Kalarmarchhara,108
816,Kutubjom,108
817,Matarbari,108
818,Shaplapur,108
819,Chakmarkul,109
820,Fatekharkul,109
821,Garjania,109
822,Idgar,109
823,Joarianala,109
824,Kachhapia,109
825,Ghuniapalong,109
826,Kowerkhope,109
827,Rajarkul,109
828,Rashidnagar,109
829,Dakshin Mithachhari,109
830,Baharchhara,110
831,Nhila,110
832,St.Martin Dwip,110
833,Sabrang,110
834,Teknaf,110
835,Whykong,110
836,Haldia Palong,111
837,Jalia Palong,111
838,Raja Palong,111
839,Ratna Palong,111
840,Palong Khali,111
841,Bara Bakia,112
842,Magnama,112
843,Pekua,112
844,Rajakhali,112
845,Toitong,112
846,Uzantia,112
847,Shilkhali,112
848,Adda,89
849,Adra,89
850,Aganagar,89
851,Bhabanipur,89
852,Deora,89
853,Galimpur,89
854,Chitodda,89
855,Dakshin Jalam,89
856,Uttar Khosbash,89
857,Dakshin Khosbash,89
858,Payalgachha,89
859,Lakshmipur,89
860,Uttar Shilmuri,89
861,Dakshin Shilmuri,89
862,Brahman Para,90
863,Dulalpur,90
864,Chandla,90
865,Sidlai,90
866,Madhabpur,90
867,Malapara,90
868,Sahebabad,90
869,Shashidal,90
870,Bakshimul,91
871,Bharella,91
872,Burichang,91
873,Mainamati,91
874,Mokam,91
875,Pir Jatrapur,91
876,Rajapur,91
877,Sholanal,91
878,Keronkhal,92
879,Barera,92
880,Bara Karai,92
881,Juag,92
882,Borkuit,92
883,Etbarpur,92
884,Madhya,92
885,Gallai,92
886,Nawabpur,92
887,Mahichail,92
888,Maijkhar,92
889,Batagashi,92
890,Suhilpur,92
891,Alkara,93
892,Batisha,93
893,Cheora,93
894,Gholpasha,93
895,Gunabati,93
896,Jagannath Dighi,93
897,Kalikapur,93
898,Kankapait,93
899,Kashinagar,93
900,Munshirhat,93
901,Shubhapur,93
902,Sreepur,93
903,Ujirpur,93
904,Barpara,94
905,Uttar Daudkandi,94
906,Gouripur,94
907,Uttar Elliotganj,94
908,Dakshin Elliotganj,94
909,Jinglatali,94
910,Goalmari,94
911,Mohammadpur Purba,94
912,Mohammadpur Paschim,94
913,Purba Panchgachhia,94
914,Paschim Panchgachhia,94
915,Sundalpur,94
916,Maruka,94
917,Biteswar,94
918,Padua,94
919,Bhani,95
920,Bara Shalghar,95
921,Elahabad,95
922,Barkamta,95
923,Dhamti,95
924,Sultanpur,95
925,Fatehabad,95
926,Gunaighar,95
927,Bankot,95
928,Mohonpur,95
929,Jaforganj,95
930,Rajmehar,95
931,Rasulpur,95
932,Subil,95
933,Yusufpur,95
934,Bhasania,96
935,Asadpur,96
936,Chanderchar,96
937,Gharmora,96
938,Dulalpur,96
939,Ghagutia,96
940,Mathabhanga,96
941,Nilakhi,96
942,Joypur,96
943,Bakai,97
944,Kandirpar,97
945,Gobindapur,97
946,Laksam,97
947,Mudapfarganj,97
948,Ajgara,97
949,Uttardah,97
950,Akubpur,98
951,Andikot,98
952,Purba Bangara,98
953,Paschim Bangara,98
954,Chapitala,98
955,Darora (Purba),98
956,Chhaliakandi,98
957,Dhamghar,98
958,Kamalla,98
959,Jahapur,98
960,Jatrapur,98
961,Muradnagar,98
962,Purba Nabipur,98
963,Paschim Nabipur,98
964,Paharpur,98
965,Purba Purbadhair,98
966,Paschim Purbadhair,98
967,Uttar Ramchandrapur,98
968,Dakshin Ramchandrapur,98
969,Sreekail,98
970,Tonki,98
971,Babutiparha,98
972,Adra,99
